player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Rod Smith,RB,DAL,2016,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1
Frank Gore,RB,IND,2016,6,3,3,6,2,1,5,3,2,NA,4,1,1,2,4,2,2,47,2.9
Josh Ferguson,RB,IND,2016,2,5,4,10,3,0,0,0,1,NA,0,0,0,0,0,0,0,25,1.6
T.Y. Hilton,WR,IND,2016,12,11,11,10,11,9,12,6,8,NA,9,5,10,13,7,9,12,155,9.7
Donte Moncrief,WR,IND,2016,7,3,NA,NA,NA,NA,NA,9,6,NA,7,11,6,4,NA,3,NA,56,6.2
Phillip Dorsett II,WR,IND,2016,6,5,4,3,3,5,NA,5,4,NA,3,6,1,8,1,1,4,59,3.9
Jack Doyle,TE,IND,2016,4,5,6,1,3,4,10,3,9,NA,2,2,4,6,4,7,5,75,4.7
Theo Riddick,RB,DET,2016,5,5,9,7,6,NA,NA,11,3,NA,10,5,6,NA,NA,NA,NA,67,6.7
Dwayne Washington,RB,DET,2016,0,0,1,1,NA,NA,NA,NA,1,NA,2,0,2,2,4,2,0,15,1.3
Ameer Abdullah,RB,DET,2016,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.5
Golden Tate,WR,DET,2016,7,9,6,4,5,10,12,9,12,NA,4,7,10,11,13,6,10,135,8.4
Eric Ebron,TE,DET,2016,5,7,8,5,NA,NA,NA,10,8,NA,5,1,6,5,7,12,6,85,6.5
Andre Roberts,WR,DET,2016,1,0,1,1,1,2,2,0,1,NA,1,4,7,2,0,1,1,25,1.6
Marvin Jones Jr.,WR,DET,2016,10,11,8,7,5,6,5,7,5,NA,2,11,NA,5,5,7,9,103,6.9
Michael Burton,RB,DET,2016,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,0.1
David Johnson,RB,ARI,2016,6,5,6,4,6,6,13,9,NA,7,11,11,12,8,5,7,4,120,7.5
John Brown,WR,ARI,2016,4,3,11,16,5,7,NA,4,NA,4,4,2,1,0,6,2,4,73,4.9
Larry Fitzgerald,WR,ARI,2016,10,10,12,7,8,9,14,11,NA,18,7,4,11,9,9,4,7,150,9.4
J.J. Nelson,WR,ARI,2016,2,NA,0,1,1,2,7,12,NA,6,5,4,2,2,11,7,12,74,4.9
Brandon Bolden,RB,NE,2016,0,0,0,3,NA,NA,1,0,NA,0,0,0,0,0,0,0,0,4,0.3
Julian Edelman,WR,NE,2016,7,10,6,4,10,7,10,8,NA,9,17,11,12,15,12,8,13,159,9.9
James White,RB,NE,2016,7,4,2,5,6,9,5,5,NA,4,6,9,5,3,8,4,4,86,5.4
Danny Amendola,WR,NE,2016,4,4,2,2,2,2,0,4,NA,1,3,1,4,NA,NA,NA,NA,29,2.4
Chris Hogan,WR,NE,2016,4,6,3,2,5,1,2,4,NA,3,NA,5,5,7,2,5,4,58,3.9
Darren Fells,TE,ARI,2016,0,5,2,2,NA,1,0,NA,NA,0,1,0,1,3,1,0,2,18,1.3
Matthew Slater,WR,NE,2016,0,1,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,0,1,0.1
James Develin,RB,NE,2016,0,0,0,0,0,0,0,0,NA,0,0,2,1,1,1,1,0,6,0.4
Chris Thompson,RB,WAS,2016,2,4,2,4,4,3,7,5,NA,3,3,6,2,1,7,1,8,62,3.9
DeSean Jackson,WR,WAS,2016,10,5,8,2,7,9,8,7,NA,NA,6,8,4,4,10,7,5,100,6.7
Josh Doctson,WR,WAS,2016,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3
Jamison Crowder,WR,WAS,2016,10,8,7,3,3,4,9,13,NA,6,3,10,8,5,5,2,3,99,6.2
Ryan Grant,WR,WAS,2016,1,1,1,0,0,1,2,2,NA,3,1,1,2,0,0,4,0,19,1.2
Jordan Reed,TE,WAS,2016,11,7,7,10,11,NA,NA,13,NA,4,6,12,NA,1,1,NA,6,89,7.4
Vernon Davis,TE,WAS,2016,1,5,0,1,4,4,6,5,NA,3,1,7,6,2,9,2,3,59,3.7
Antonio Brown,WR,PIT,2016,11,11,18,5,11,8,11,NA,11,18,10,6,7,11,5,11,NA,154,10.3
Jesse James,TE,PIT,2016,7,5,4,2,8,3,2,NA,4,4,4,1,4,3,1,5,3,60,3.8
Carlos Hyde,RB,SF,2016,3,3,1,1,6,0,NA,NA,NA,1,3,6,2,1,3,3,NA,33,2.5
Mike Davis,RB,SF,2016,0,1,0,0,0,3,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,0.6
Vance McDonald,TE,SF,2016,3,2,2,NA,NA,2,6,NA,6,6,6,8,4,0,NA,NA,NA,45,4.1
Garrett Celek,TE,SF,2016,4,2,4,5,5,0,3,NA,6,0,3,3,0,1,6,7,1,50,3.1
Todd Gurley II,RB,LAR,2016,3,1,2,5,5,4,7,NA,5,1,2,4,3,4,4,3,5,58,3.6
Tavon Austin,WR,LAR,2016,12,9,8,6,10,4,15,NA,2,7,2,4,NA,11,5,7,4,106,7.1
Malcolm Brown,RB,LAR,2016,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0.2
Lance Kendricks,TE,LAR,2016,3,6,4,7,3,8,9,NA,12,2,7,7,5,3,4,4,3,87,5.4
Tyler Higbee,TE,LAR,2016,4,0,0,1,1,0,1,NA,7,0,3,1,4,4,1,2,0,29,1.8
Kyle Nelson,TE,SF,2016,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
Blake Bell,TE,SF,2016,0,2,1,0,2,NA,0,NA,0,0,0,1,0,2,1,NA,NA,9,0.7
Mike Thomas,WR,LAR,2016,0,0,1,0,0,0,1,NA,0,0,0,0,1,1,4,NA,1,9,0.6
Trey Burton,TE,PHI,2016,0,7,6,NA,2,1,1,2,3,0,2,4,9,10,6,1,6,60,3.8
Tommylee Lewis,WR,NO,2016,NA,1,4,1,NA,3,0,0,NA,NA,NA,2,0,0,0,0,0,11,0.9
Chester Rogers,WR,IND,2016,NA,1,2,3,6,4,3,NA,0,NA,0,1,0,2,5,0,7,34,2.4
Taylor Gabriel,WR,ATL,2016,NA,2,3,3,0,2,NA,3,5,5,NA,5,6,6,6,4,NA,50,3.8
Trevor Davis,WR,GB,2016,NA,1,1,NA,0,0,0,4,0,1,0,0,NA,NA,NA,NA,0,7,0.6
Laquon Treadwell,WR,MIN,2016,NA,0,NA,0,0,NA,NA,0,1,NA,0,0,2,0,NA,NA,NA,3,0.3
Jordan Howard,RB,CHI,2016,NA,2,6,4,3,4,1,4,NA,0,8,5,1,5,4,3,0,50,3.3
Jerell Adams,TE,NYG,2016,NA,0,NA,0,2,0,1,NA,4,3,1,0,3,2,4,1,NA,21,1.6
Chris Manhertz,TE,CAR,2016,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,0,1,0.1
D.J. Foster,RB,NE,2016,NA,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.7
Jay Ajayi,RB,MIA,2016,NA,4,0,2,1,2,1,NA,4,1,4,2,7,3,0,1,3,35,2.3
DeVante Parker,WR,MIA,2016,NA,13,6,3,3,7,4,NA,4,8,10,6,4,3,3,7,6,87,5.8
Alex Collins,RB,SEA,2016,NA,0,2,0,NA,1,0,NA,0,0,NA,0,NA,3,NA,4,1,11,1
