player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
KJ Hamler,WR,DEN,2022,1,NA,0,1,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2
Albert Okwuegbunam,TE,DEN,2022,6,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2.8
Jerry Jeudy,WR,DEN,2022,7,3,6,5,8,7,11,7,NA,1,NA,NA,4,9,8,10,NA,NA,86,6.6
Montrell Washington,WR,DEN,2022,0,1,0,1,0,1,0,1,NA,1,0,3,1,0,0,0,NA,NA,9,0.6
Tyrie Cleveland,WR,DEN,2022,0,3,NA,NA,1,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,1.4
D'Ernest Johnson,RB,CLE,2022,0,NA,NA,0,NA,2,0,0,NA,1,0,NA,NA,NA,0,0,NA,NA,3,0.3
Qadree Ollison,RB,DAL,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jermar Jefferson,RB,DET,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
David Sills V,WR,NYG,2022,NA,4,4,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2.4
Daniel Bellinger,TE,NYG,2022,NA,1,5,3,3,5,1,NA,NA,NA,NA,NA,5,3,4,2,NA,NA,32,3.2
Tanner Hudson,TE,NYG,2022,NA,3,NA,2,NA,NA,1,5,NA,3,NA,1,NA,NA,NA,NA,NA,NA,15,2.5
Stephen Sullivan,TE,CAR,2022,NA,1,NA,0,NA,0,NA,2,NA,NA,NA,NA,NA,1,0,0,NA,NA,4,0.6
Derek Watt,RB,PIT,2022,NA,0,NA,NA,1,0,0,2,NA,0,NA,1,1,NA,0,0,NA,NA,5,0.5
Lil'Jordan Humphrey,WR,NE,2022,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Pierre Strong Jr.,RB,NE,2022,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,2,3,2,NA,NA,7,0.8
Dwayne Washington,RB,NO,2022,NA,0,0,NA,0,NA,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0.1
Tony Jones Jr.,RB,SEA,2022,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,8,2.7
Adam Prentice,RB,NO,2022,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,2,0.4
Scotty Miller,WR,TB,2022,NA,8,5,NA,7,0,2,2,8,2,NA,NA,2,1,NA,1,NA,NA,38,3.5
Ko Kieft,TE,TB,2022,NA,0,0,1,0,0,1,1,2,NA,NA,1,2,1,0,0,NA,NA,9,0.7
Giovani Bernard,RB,TB,2022,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0
David Bell,WR,CLE,2022,NA,1,1,3,1,2,1,2,NA,5,5,6,1,3,NA,2,NA,NA,33,2.5
Jeremy Ruckert,TE,NYJ,2022,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Jeff Smith,WR,NYJ,2022,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,11,1.6
Ty Johnson,RB,NYJ,2022,NA,3,NA,0,0,NA,1,2,0,NA,1,2,7,NA,NA,0,NA,NA,16,1.6
Kenny Yeboah,TE,NYJ,2022,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
Raleigh Webb,WR,NE,2022,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
River Cracraft,WR,MIA,2022,NA,2,1,1,1,1,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,13,1.9
Dan Arnold,TE,JAC,2022,NA,1,NA,1,2,NA,1,1,1,1,NA,NA,0,3,NA,1,NA,NA,12,1.2
Deon Jackson,RB,IND,2022,NA,0,NA,NA,4,10,0,0,3,NA,4,NA,1,NA,1,3,NA,NA,26,2.6
Dezmon Patmon,WR,IND,2022,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
Keke Coutee,WR,IND,2022,NA,0,NA,NA,NA,0,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.2
Craig Reynolds,RB,DET,2022,NA,1,1,1,3,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.4
Brock Wright,TE,DET,2022,NA,1,NA,0,NA,NA,4,1,1,1,2,3,2,1,2,1,NA,NA,19,1.6
Justin Jackson,RB,DET,2022,NA,0,0,2,1,NA,0,0,0,3,1,2,5,1,2,1,NA,NA,18,1.3
Quintez Cephus,WR,DET,2022,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
