Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1836,P.J. Locke,PIT,null,null,S,null,null,null,null,null,null,null
1837,P.J. Williams,NO,null,null,CB,null,null,null,null,null,null,null
1838,Bradley Roby,HOU,null,null,CB,null,null,null,null,null,null,null
1839,Ross Cockrell,CAR,null,null,CB,null,null,null,null,null,null,null
1840,Rickey Jefferson,NO,null,null,SS,null,null,null,null,null,null,null
1841,Buster Skrine,CHI,null,null,CB,null,null,null,null,null,null,null
1842,Roderic Teamer,LAC,null,null,S,null,null,null,null,null,null,null
1843,Rock Ya-Sin,IND,null,null,CB,null,null,null,null,null,null,null
1844,Stephone Anthony,ATL,null,null,OLB,null,null,null,null,null,null,null
1845,Sterling Sheffield,CIN,null,null,OLB,null,null,null,null,null,null,null
1846,Tenny Adewusi,NYG,null,null,CB,null,null,null,null,null,null,null
1847,Trevor Bates,DET,null,null,ILB,null,null,null,null,null,null,null
1848,Terrence Brooks,NE,null,null,DB,null,null,null,null,null,null,null
1849,T.J. Carrie,CLE,null,null,CB,null,null,null,null,null,null,null
1850,T.J. Edwards,PHI,null,null,LB,null,null,null,null,null,null,null
1851,Tyree Kinnel,CIN,null,null,SS,null,null,null,null,null,null,null
1852,Tevin Mitchel,LV,null,null,CB,null,null,null,null,null,null,null
1853,Tyler Patmon,MIA,null,null,CB,null,null,null,null,null,null,null
1854,Telvin Smith,JAX,null,null,OLB,null,null,null,null,null,null,null
1855,Tre Watson,MIA,null,null,ILB,null,null,null,null,null,null,null
1856,Ugo Amadi,SEA,null,null,DB,null,null,null,null,null,null,null
1857,Chuck Harris,CHI,null,null,DE,null,null,null,null,null,null,null
1858,Darqueze Dennard,CIN,null,null,CB,null,null,null,null,null,null,null
1859,Duke Ejiofor,HOU,null,null,DL,null,null,null,null,null,null,null
1860,David Kenney,TB,null,null,OLB,null,null,null,null,null,null,null
