"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Trace McSorley","QB","ARI","8","0","0","0","0","0","0","0","0","0","15","0","bye","0","","","","","23","11.5"
"Anthony Brown","QB","BAL","0","0","0","0","0","0","0","0","0","bye","0","0","0","23","","","","","23","23.0"
"Jordan Wilkins","RB","IND","0","0","0","0","0","0","0","0","19","3","0","0","0","bye","","","","","22","11.0"
"Austin Trammell","WR","LAR","0","0","0","0","0","0","bye","0","0","0","0","0","10","12","","","","","22","11.0"
"Racey McMath","WR","TEN","0","0","0","0","0","bye","0","0","0","0","0","0","0","22","","","","","22","22.0"
"Ty Montgomery","RB","NE","21","0","0","0","0","0","0","0","0","bye","0","0","0","0","","","","","21","21.0"
"Jalen Guyton","WR","LAC","5","0","16","0","0","0","0","bye","0","0","0","0","0","0","","","","","21","10.5"
"Adam Prentice","RB","NO","0","10","0","0","0","0","0","0","0","0","0","8","3","bye","","","","","21","7.0"
"Anthony McFarland Jr.","RB","PIT","0","0","0","0","0","0","0","0","bye","0","0","21","0","0","","","","","21","21.0"
"Jameson Williams","WR","DET","0","0","0","0","0","bye","0","0","0","0","0","0","8","13","","","","","21","10.5"
"Jordan Love","QB","GB","5","0","0","0","0","4","0","0","0","0","0","10","0","bye","","","","","19","6.3"
"Britain Covey","WR","PHI","0","0","0","0","0","0","bye","4","1","0","0","0","9","5","","","","","19","4.8"
"Dareke Young","WR","SEA","0","0","0","0","0","0","0","4","14","0","bye","0","1","0","","","","","19","6.3"
"Jeremy Ruckert","TE","NYJ","0","18","0","0","0","0","0","0","0","bye","0","0","0","0","","","","","18","18.0"
"Josh Gordon","WR","TEN","0","18","0","0","0","bye","0","0","0","0","0","0","0","0","","","","","18","18.0"
"Jason Moore Jr.","WR","LAC","0","0","0","0","0","0","18","bye","0","0","0","0","0","0","","","","","18","18.0"
"Laquon Treadwell","WR","SEA","0","0","0","0","0","0","0","0","0","0","bye","0","18","0","","","","","18","18.0"
"Chris Evans","RB","CIN","0","0","2","3","0","3","0","2","1","bye","0","4","2","0","","","","","17","2.4"
"J.J. Taylor","RB","NE","0","0","0","0","0","0","0","0","17","bye","0","0","0","0","","","","","17","17.0"
"Ke'Shawn Vaughn","RB","TB","0","0","0","0","0","0","0","0","3","5","bye","9","0","0","","","","","17","5.7"
"Jonathan Williams","RB","WAS","1","0","2","6","0","0","0","0","0","0","0","5","2","bye","","","","","16","3.2"
"DJ Turner","WR","LV","0","0","0","0","0","bye","5","5","0","2","0","0","0","4","","","","","16","4.0"
"Brandon Allen","QB","CIN","0","0","0","0","0","0","0","0","16","bye","0","0","0","0","","","","","16","16.0"
"C.J. Board","WR","TEN","0","0","0","0","0","bye","0","0","0","0","0","0","16","0","","","","","16","16.0"
"Brian Hoyer","QB","NE","0","0","0","15","0","0","0","0","0","bye","0","0","0","0","","","","","15","15.0"
"Tanner Conner","WR","MIA","0","0","0","0","7","8","0","0","0","0","bye","0","0","0","","","","","15","7.5"
"Salvon Ahmed","RB","MIA","0","0","0","0","0","0","0","3","0","7","bye","0","0","5","","","","","15","5.0"
"Jalen Camp","WR","HOU","0","0","0","0","0","bye","0","0","15","0","0","0","0","0","","","","","15","15.0"
"Jarrett Stidham","QB","LV","0","0","0","0","0","bye","0","14","0","0","0","0","0","0","","","","","14","14.0"
"Braylon Sanders","WR","MIA","0","0","0","0","0","0","0","14","0","0","bye","0","0","0","","","","","14","14.0"
"Snoop Conner","RB","JAC","0","0","0","0","0","0","0","0","0","0","bye","10","4","0","","","","","14","7.0"
"Julius Chestnut","RB","TEN","0","0","0","0","0","bye","0","0","0","0","0","0","7","7","","","","","14","7.0"
"Cole Beasley","WR","TB","0","0","9","4","0","0","0","0","0","0","bye","0","0","0","","","","","13","6.5"
"Kendall Blanton","TE","LAR","0","0","5","8","0","0","bye","0","0","0","0","0","0","0","","","","","13","6.5"
"Jalen Nailor","WR","MIN","0","0","0","1","0","0","bye","0","0","0","12","0","0","0","","","","","13","6.5"
"Mason Kinsey","WR","TEN","0","0","0","0","0","bye","13","0","0","0","0","0","0","0","","","","","13","13.0"
"Nick Mullens","QB","MIN","0","0","0","0","0","0","bye","0","1","0","12","0","0","0","","","","","13","6.5"
"Trinity Benson","WR","DET","0","0","0","0","0","bye","0","0","0","13","0","0","0","0","","","","","13","13.0"
"Maxx Williams","TE","ARI","0","0","0","0","0","0","0","0","0","0","13","0","bye","0","","","","","13","13.0"
"Noah Togiai","TE","PHI","11","0","0","0","0","0","bye","0","0","0","0","0","0","0","","","","","11","11.0"
"Chad Henne","QB","KC","5","0","0","0","0","0","6","bye","0","0","0","0","0","0","","","","","11","5.5"
"J.P. Holtz","TE","NO","0","0","0","11","0","0","0","0","0","0","0","0","0","bye","","","","","11","11.0"
"Tanner Gentry","WR","BUF","0","0","0","0","11","0","bye","0","0","0","0","0","0","0","","","","","11","11.0"
"Ronald Jones II","RB","KC","0","0","0","0","0","0","0","bye","0","0","0","11","0","0","","","","","11","11.0"
"James Washington","WR","DAL","0","0","0","0","0","0","0","0","bye","0","0","0","0","11","","","","","11","11.0"
"Josh Johnson","QB","SF","0","0","0","0","0","0","0","0","bye","0","0","0","0","11","","","","","11","11.0"
"Damien Williams","RB","ATL","10","0","0","0","0","0","0","0","0","0","0","0","0","bye","","","","","10","10.0"
"David Johnson","RB","NO","0","0","0","0","0","0","0","0","0","0","10","0","0","bye","","","","","10","10.0"
"Nick Boyle","TE","BAL","0","0","0","0","0","0","0","0","0","bye","0","10","0","0","","","","","10","10.0"
"Cody White","WR","PIT","0","0","0","0","0","0","0","0","bye","0","0","10","0","0","","","","","10","10.0"
"Tyree Jackson","TE","PHI","0","0","0","0","0","0","bye","0","0","0","9","0","0","0","","","","","9","9.0"
"Jacob Eason","QB","CAR","0","0","0","0","0","7","0","0","0","0","0","0","bye","0","","","","","7","7.0"
"Kene Nwangwu","RB","MIN","0","0","0","0","0","0","bye","0","0","0","7","0","0","0","","","","","7","7.0"
"Jerome Ford","RB","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","7","0","","","","","7","7.0"
"Jake Tonges","TE","CHI","0","0","6","0","0","0","0","0","0","0","0","0","0","bye","","","","","6","6.0"
"Penny Hart","WR","SEA","0","0","6","0","0","0","0","0","0","0","bye","0","0","0","","","","","6","6.0"
"Devine Ozigbo","RB","DEN","0","0","0","0","2","0","0","0","bye","0","0","4","0","0","","","","","6","3.0"
"Marcus Kemp","WR","KC","0","0","0","0","0","0","6","bye","0","0","0","0","0","0","","","","","6","6.0"
"Patrick Taylor Jr.","RB","GB","0","0","0","0","0","0","0","0","0","0","0","0","6","bye","","","","","6","6.0"
"C.J. Beathard","QB","JAC","0","0","1","0","0","0","0","0","0","0","bye","0","4","0","","","","","5","2.5"
"Trey Sermon","RB","PHI","0","0","0","5","0","0","bye","0","0","0","0","0","0","0","","","","","5","5.0"
"Duke Johnson Jr.","RB","BUF","0","0","0","0","0","0","bye","0","0","5","0","0","0","0","","","","","5","5.0"
"Miller Forristall","TE","CLE","0","0","4","0","0","0","0","0","bye","0","0","0","0","0","","","","","4","4.0"
"Maurice Alexander","WR","DET","0","0","0","2","1","bye","0","1","0","0","0","0","0","0","","","","","4","1.3"
"Binjimen Victor","WR","BAL","0","0","0","0","0","0","0","0","4","bye","0","0","0","0","","","","","4","4.0"
"Corey Clement","RB","ARI","0","0","0","0","0","0","0","0","0","0","0","1","bye","3","","","","","4","2.0"
"Jordan Howard","RB","NO","0","0","0","0","0","0","0","0","0","3","0","0","0","bye","","","","","3","3.0"
"Chase Daniel","QB","LAC","0","0","0","0","0","0","0","bye","0","3","0","0","0","0","","","","","3","3.0"
"John Brown","WR","BUF","0","0","0","0","0","0","bye","0","0","0","0","0","0","3","","","","","3","3.0"
"Kenny Yeboah","TE","NYJ","0","2","0","0","0","0","0","0","0","bye","0","0","0","0","","","","","2","2.0"
"Keke Coutee","WR","IND","0","0","0","0","0","0","0","0","1","1","0","0","0","bye","","","","","2","1.0"
"Stanley Berryhill III","WR","DET","0","0","0","0","0","bye","0","0","0","2","0","0","0","0","","","","","2","2.0"
"Nate Sudfeld","QB","DET","0","0","0","0","0","bye","0","0","0","0","0","0","2","0","","","","","2","2.0"
"Matthew Slater","WR","NE","0","0","0","0","0","0","0","0","0","bye","0","0","0","2","","","","","2","2.0"
"Rico Dowdle","RB","DAL","0","1","0","0","0","0","0","0","bye","0","0","0","0","0","","","","","1","1.0"
"Kylin Hill","RB","GB","0","0","0","0","0","0","0","0","1","0","0","0","0","bye","","","","","1","1.0"
""
""
