"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Tyler Higbee","TE","LAR","63","61","45","69","63","51","bye","40","45","48","59","0","54","61","","","","","659","54.9"
"George Kittle","TE","SF","0","0","51","47","59","59","70","53","bye","71","43","68","81","50","","","","","652","59.3"
"Dalvin Cook","RB","MIN","48","42","44","45","45","45","bye","54","57","70","34","59","51","55","","","","","649","49.9"
"K.J. Osborn","WR","MIN","42","47","54","61","65","31","bye","57","53","65","42","39","45","48","","","","","649","49.9"
"Chris Godwin","WR","TB","19","0","0","53","41","64","63","61","77","67","bye","66","69","69","","","","","649","59.0"
"Garrett Wilson","WR","NYJ","41","43","49","54","33","24","43","52","55","bye","50","52","78","72","","","","","646","49.7"
"DK Metcalf","WR","SEA","45","45","66","53","50","55","20","40","59","47","bye","59","58","49","","","","","646","49.7"
"Mark Andrews","TE","BAL","47","49","54","66","62","54","56","10","0","bye","64","61","61","54","","","","","638","53.2"
"Allen Lazard","WR","GB","0","55","56","70","59","71","32","0","65","63","56","49","62","bye","","","","","638","58.0"
"Davis Mills","QB","HOU","68","60","59","57","58","bye","65","54","60","64","56","0","0","33","","","","","634","57.6"
"Ryan Tannehill","QB","TEN","65","39","58","54","64","bye","58","0","0","61","66","57","45","67","","","","","634","57.6"
"Josh Jacobs","RB","LV","35","48","45","67","52","bye","45","32","41","55","53","61","46","50","","","","","630","48.5"
"Marquez Valdes-Scantling","WR","KC","51","45","49","55","58","55","35","bye","71","53","46","44","31","35","","","","","628","48.3"
"Noah Brown","WR","DAL","61","52","51","48","42","61","50","0","bye","63","54","34","54","50","","","","","620","51.7"
"Drake London","WR","ATL","54","50","48","44","44","39","40","59","46","55","42","49","47","bye","","","","","617","47.5"
"Deebo Samuel","WR","SF","56","59","44","40","53","50","68","0","bye","62","34","55","69","27","","","","","617","51.4"
"Amon-Ra St. Brown","WR","DET","61","52","57","0","21","bye","10","57","60","50","60","62","66","61","","","","","617","51.4"
"DeAndre Carter","WR","LAC","25","49","45","49","42","68","67","bye","57","50","53","53","45","12","","","","","615","47.3"
"Hunter Henry","TE","NE","44","34","46","49","59","68","44","50","42","bye","53","39","47","39","","","","","614","47.2"
"Jimmy Garoppolo","QB","SF","0","60","56","50","66","60","69","53","bye","71","51","70","8","0","","","","","614","55.8"
"Darnell Mooney","WR","CHI","52","37","59","53","47","66","57","68","64","53","56","0","0","bye","","","","","612","55.6"
"Tyreek Hill","WR","MIA","40","54","37","60","43","60","55","49","45","49","bye","45","39","34","","","","","610","46.9"
"Chase Claypool","WR","Multi","58","54","55","47","68","55","64","61","26","19","29","38","33","0","","","","","607","46.7"
"Jaylen Waddle","WR","MIA","40","57","32","55","51","62","49","52","41","51","bye","47","24","43","","","","","604","46.5"
"Devin Singletary","RB","BUF","35","37","67","56","30","63","bye","44","46","54","47","60","33","29","","","","","601","46.2"
"Cade Otton","TE","TB","30","33","0","43","74","40","54","62","71","46","bye","36","66","45","","","","","600","50.0"
"Tua Tagovailoa","QB","MIA","60","71","40","25","0","0","62","68","57","62","bye","55","45","51","","","","","596","54.2"
"Christian McCaffrey","RB","Multi","43","53","49","45","59","38","23","43","0","46","38","44","69","44","","","","","594","45.7"
"Kenny Pickett","QB","PIT","0","0","0","31","75","37","75","76","bye","84","73","69","65","8","","","","","593","59.3"
"Ja'Marr Chase","WR","CIN","100","67","59","60","63","56","63","0","0","bye","0","0","59","63","","","","","590","65.6"
