"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Cameron Brate","TE","TB","3","2","6","8","-","3","-","-","-","2","bye","5","-","4","","","","","33","4.1"
"Marquise Goodwin","WR","SEA","2","1","5","0","-","2","5","5","-","2","bye","3","2","6","","","","","33","3.0"
"Melvin Gordon III","RB","DEN","2","1","6","1","3","0","4","4","bye","6","5","-","-","-","","","","","32","3.2"
"Breece Hall","RB","NYJ","9","1","11","6","2","2","0","-","-","bye","-","-","-","-","","","","","31","4.4"
"Kendrick Bourne","WR","NE","1","3","5","3","1","1","-","1","4","bye","1","4","2","5","","","","","31","2.6"
"Jonnu Smith","TE","NE","4","3","4","-","-","2","3","4","3","bye","4","-","2","2","","","","","31","3.1"
"Shi Smith","WR","CAR","3","6","2","2","5","2","0","1","2","1","5","0","bye","2","","","","","31","2.4"
"Chigoziem Okonkwo","TE","TEN","1","0","-","3","1","bye","1","2","3","2","2","5","5","6","","","","","31","2.6"
"Wan'Dale Robinson","WR","NYG","1","-","-","-","-","4","8","3","bye","2","13","-","-","-","","","","","31","5.2"
"David Bell","WR","CLE","-","1","1","3","1","2","1","2","bye","5","5","6","1","3","","","","","31","2.6"
"Kendall Hinton","WR","DEN","-","1","1","3","-","1","1","-","bye","5","3","9","1","6","","","","","31","3.1"
"Marquez Callaway","WR","NO","-","-","1","6","3","7","6","1","5","-","1","-","1","bye","","","","","31","3.4"
"David Montgomery","RB","CHI","4","2","0","-","4","1","0","3","2","1","4","4","5","bye","","","","","30","2.5"
"Phillip Dorsett II","WR","HOU","1","-","1","2","0","bye","3","5","5","4","1","2","3","3","","","","","30","2.5"
"Hunter Renfrow","WR","LV","6","10","-","-","4","bye","3","2","4","-","-","-","-","-","","","","","29","4.8"
"Tyquan Thornton","WR","NE","-","-","-","-","3","5","5","2","4","bye","2","-","3","5","","","","","29","3.6"
"Rashod Bateman","WR","BAL","5","7","4","6","-","-","5","1","-","bye","-","-","-","-","","","","","28","4.7"
"Noah Gray","TE","KC","2","3","2","1","2","3","1","bye","3","2","3","2","1","3","","","","","28","2.2"
"Skyy Moore","WR","KC","1","0","0","4","3","3","1","bye","1","1","6","6","0","2","","","","","28","2.2"
"Raheem Mostert","RB","MIA","1","3","2","3","3","2","5","1","2","4","bye","-","0","1","","","","","27","2.3"
"Nick Chubb","RB","CLE","1","3","1","3","1","2","3","1","bye","4","3","1","1","3","","","","","27","2.1"
"Isaiah Hodgins","WR","NYG","-","-","-","-","6","-","-","-","bye","2","3","4","6","6","","","","","27","4.5"
"Van Jefferson","WR","LAR","-","-","-","-","-","-","bye","-","5","3","5","6","4","4","","","","","27","4.5"
"Jeff Wilson Jr.","RB","MIA","2","2","3","0","2","1","1","2","3","5","bye","3","2","0","","","","","26","2.0"
"Ian Thomas","TE","CAR","3","3","3","3","2","2","1","1","-","-","4","2","bye","2","","","","","26","2.4"
"Ameer Abdullah","RB","LV","1","1","0","0","0","bye","2","5","3","4","4","3","1","2","","","","","26","2.0"
"Dontrell Hilliard","RB","TEN","4","-","1","4","5","bye","2","1","1","2","1","3","2","0","","","","","26","2.2"
"Daniel Bellinger","TE","NYG","-","1","5","3","3","5","1","-","bye","-","-","-","5","3","","","","","26","3.3"
"Kenneth Walker III","RB","SEA","-","3","3","1","0","3","0","2","4","8","bye","1","1","-","","","","","26","2.4"
"Tre'Quan Smith","WR","NO","-","-","5","2","4","3","6","1","4","0","-","1","-","bye","","","","","26","2.9"
"Jelani Woods","TE","IND","-","-","3","1","1","3","2","-","3","-","-","9","4","bye","","","","","26","3.3"
"James Cook","RB","BUF","0","1","5","1","0","0","bye","1","4","0","1","5","6","1","","","","","25","1.9"
"Braxton Berrios","WR","NYJ","6","0","1","1","1","1","4","1","2","bye","1","1","3","3","","","","","25","1.9"
"Dante Pettis","WR","CHI","1","0","0","3","2","7","1","5","1","1","0","2","2","bye","","","","","25","1.9"
"Jamal Agnew","WR","JAC","1","1","1","6","1","1","-","-","0","4","bye","5","1","3","","","","","24","2.2"
"Darren Waller","TE","LV","6","8","5","5","-","bye","-","0","-","-","-","-","-","-","","","","","24","4.8"
"Sterling Shepard","WR","NYG","4","10","10","-","-","-","-","-","bye","-","-","-","-","-","","","","","24","8.0"
"Justin Watson","WR","KC","1","2","1","1","1","1","2","bye","5","1","4","2","1","2","","","","","24","1.8"
"Latavius Murray","RB","DEN","-","0","-","1","-","1","3","2","bye","3","4","1","4","5","","","","","24","2.4"
"Laviska Shenault Jr.","WR","CAR","-","-","2","0","-","-","1","6","1","4","4","2","bye","4","","","","","24","2.7"
"Jaylen Warren","RB","PIT","1","1","1","1","5","0","2","3","bye","3","1","-","2","3","","","","","23","1.9"
"Tommy Tremble","TE","CAR","1","-","1","6","1","-","1","4","4","1","0","2","bye","2","","","","","23","2.1"
"Mo Alie-Cox","TE","IND","2","3","3","6","1","-","-","1","2","-","1","3","1","bye","","","","","23","2.3"
"Miles Sanders","RB","PHI","2","3","1","3","3","1","bye","0","0","1","1","3","2","3","","","","","23","1.8"
"Clyde Edwards-Helaire","RB","KC","3","4","5","2","4","0","1","bye","2","2","0","-","-","-","","","","","23","2.3"
"Brandon Powell","WR","LAR","1","1","3","0","0","5","bye","0","1","1","2","2","4","2","","","","","22","1.7"
"Darrell Henderson Jr.","RB","LAR","5","0","1","4","5","3","bye","2","1","1","0","-","-","-","","","","","22","2.2"
"Michael Thomas","WR","NO","8","9","5","-","-","-","-","-","-","-","-","-","-","bye","","","","","22","7.3"
"John Bates","TE","WAS","1","3","1","6","3","-","-","1","2","-","1","4","-","bye","","","","","22","2.4"
"Kyle Juszczyk","RB","SF","2","1","1","1","2","4","4","-","bye","-","0","2","3","2","","","","","22","2.0"
"Brevin Jordan","TE","HOU","2","4","-","-","-","bye","4","5","2","-","-","-","5","-","","","","","22","3.7"
"Sammy Watkins","WR","GB","3","4","-","-","-","-","4","1","5","3","2","-","-","bye","","","","","22","3.1"
"Javonte Williams","RB","DEN","12","4","5","1","-","-","-","-","bye","-","-","-","-","-","","","","","22","5.5"
