"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"C.J. Prosise","RB","SEA","1","-","-","-","bye","-","3","4","1","7","3","-","-","-","-","-","-","19","3.2"
"Virgil Green","TE","DEN","5","3","-","-","-","4","0","6","4","6","bye","0","1","2","2","-","4","37","3.1"
"Latavius Murray","RB","OAK","2","6","1","2","-","-","5","7","1","-","5","4","5","1","1","2","1","43","3.1"
"Kyle Juszczyk","RB","BAL","3","2","1","7","5","6","1","bye","0","3","3","5","1","3","4","3","2","49","3.1"
"Tevin Coleman","RB","ATL","6","2","3","4","6","2","1","-","-","-","bye","2","2","3","2","3","4","40","3.1"
"Garrett Celek","TE","SF","4","2","4","5","5","0","3","bye","6","0","3","3","0","1","6","7","1","50","3.1"
"Marcedes Lewis","TE","JAC","2","3","3","2","bye","1","3","6","4","4","2","-","-","-","-","-","-","30","3.0"
"Josh Doctson","WR","WAS","1","5","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","6","3.0"
"Richard Rodgers","TE","GB","3","2","3","bye","5","3","1","0","10","7","4","1","2","2","1","2","1","47","2.9"
"Russell Shepard","WR","TB","0","2","2","0","0","bye","6","3","-","-","4","3","2","3","3","5","7","40","2.9"
"Frank Gore","RB","IND","6","3","3","6","2","1","5","3","2","bye","4","1","1","2","4","2","2","47","2.9"
"Devontae Booker","RB","DEN","0","1","1","1","6","2","2","6","3","2","bye","2","1","2","3","10","3","45","2.8"
"Lamar Miller","RB","HOU","4","2","5","3","3","4","4","3","bye","0","3","4","1","1","2","-","-","39","2.8"
"Ezekiel Elliott","RB","DAL","2","2","2","1","4","4","bye","4","1","2","5","2","5","2","3","1","-","40","2.7"
"Ameer Abdullah","RB","DET","5","0","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","5","2.5"
"Carlos Hyde","RB","SF","3","3","1","1","6","0","-","bye","-","1","3","6","2","1","3","3","-","33","2.5"
"Daniel Brown","TE","CHI","-","-","-","-","0","0","-","-","bye","-","-","4","2","6","2","4","2","20","2.5"
"Jalen Richard","RB","OAK","2","1","1","3","7","3","1","2","3","-","3","0","0","4","5","3","1","39","2.4"
"Josh Hill","TE","NO","0","-","-","-","bye","5","1","1","4","1","2","6","2","-","-","-","-","22","2.4"
"Paul Richardson Jr.","WR","SEA","2","6","0","1","bye","0","2","3","1","3","3","3","-","0","0","5","7","36","2.4"
"Danny Amendola","WR","NE","4","4","2","2","2","2","0","4","bye","1","3","1","4","-","-","-","-","29","2.4"
"Chester Rogers","WR","IND","-","1","2","3","6","4","3","-","0","bye","0","1","0","2","5","0","7","34","2.4"
"Jay Ajayi","RB","MIA","-","4","0","2","1","2","1","bye","4","1","4","2","7","3","0","1","3","35","2.3"
"Geronimo Allison","WR","GB","-","-","-","bye","-","-","-","4","1","2","1","0","0","0","1","7","6","22","2.2"
"Damien Williams","RB","MIA","2","-","3","2","2","2","1","bye","3","1","1","2","2","3","0","3","5","32","2.1"
"Adrian Peterson","RB","MIN","2","3","-","-","-","bye","-","-","-","-","-","-","-","-","1","-","-","6","2.0"
"Pharoh Cooper","WR","LAR","-","-","-","-","1","-","-","bye","1","1","1","0","4","3","3","0","6","20","2.0"
"J.D. McKissic","RB","SEA","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","2","2","2.0"
"Justin Hardy","WR","ATL","2","3","2","0","0","3","2","1","0","0","bye","4","3","2","2","0","7","31","1.9"
"Austin Hooper","TE","ATL","1","3","0","1","1","0","0","5","6","3","bye","2","1","3","1","-","-","27","1.9"
