"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Will Dissly","TE","SEA","2","5","7","8","4","1","-","-","-","-","bye","-","-","-","-","-","-","27","4.5"
"Jack Doyle","TE","IND","2","3","4","8","3","bye","5","5","4","4","0","4","11","6","5","4","4","72","4.5"
"Zach Pascal","WR","IND","0","0","3","7","2","bye","7","2","6","7","6","1","10","9","6","3","3","72","4.5"
"Bennie Fowler III","WR","NYG","5","10","3","2","-","-","5","2","6","3","bye","-","-","-","-","-","-","36","4.5"
"Ryan Grant","WR","OAK","4","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","4.5"
"Ezekiel Elliott","RB","DAL","2","2","3","7","3","6","7","bye","0","3","3","4","10","5","4","7","5","71","4.4"
"Aaron Jones","RB","GB","1","6","1","7","8","7","4","8","3","0","bye","1","6","7","0","3","6","68","4.3"
"Josh Gordon","WR","SEA","4","5","11","7","8","1","-","-","-","2","bye","2","1","5","1","-","-","47","4.3"
"Paul Richardson Jr.","WR","WAS","7","3","9","5","2","4","1","4","5","bye","-","2","-","-","-","-","-","42","4.2"
"KeeSean Johnson","WR","ARI","10","2","4","3","7","5","2","-","3","4","2","bye","-","-","-","-","-","42","4.2"
"Damiere Byrd","WR","ARI","7","7","4","-","-","2","2","5","-","-","-","bye","3","1","6","1","8","46","4.2"
"Kenny Stills","WR","HOU","3","3","6","2","-","-","5","5","4","bye","7","2","4","2","3","9","-","55","4.2"
"Jaylen Samuels","RB","PIT","2","1","0","8","4","-","bye","-","13","7","6","3","2","2","1","6","2","57","4.1"
"Noah Fant","TE","DEN","4","4","3","4","1","3","5","9","4","bye","10","5","3","4","3","2","2","66","4.1"
"James O'Shaughnessy","TE","JAC","5","4","3","4","4","-","-","-","-","bye","-","-","-","-","-","-","-","20","4.0"
"Jordan Matthews","WR","PHI","-","-","-","-","-","-","0","-","-","bye","6","6","-","-","-","-","-","12","4.0"
"Miles Sanders","RB","PHI","2","4","4","0","5","3","3","3","3","bye","4","5","5","5","6","6","5","63","3.9"
"Trey Quinn","WR","WAS","6","7","7","4","4","4","3","3","3","bye","4","1","1","-","-","-","-","47","3.9"
"Adam Humphries","WR","TEN","1","2","9","3","6","6","4","6","4","1","bye","3","2","-","-","-","-","47","3.9"
"Tyler Eifert","TE","CIN","5","5","1","5","4","2","2","9","bye","4","4","1","2","4","5","8","2","63","3.9"
"Phillip Dorsett II","WR","NE","4","3","7","9","0","-","4","6","4","bye","5","-","6","2","0","0","4","54","3.9"
"Vance McDonald","TE","PIT","4","7","2","-","3","1","bye","4","7","7","7","1","3","1","-","6","2","55","3.9"
"Tim Patrick","WR","DEN","0","-","-","-","-","-","-","-","-","bye","8","3","2","3","7","6","2","31","3.9"
"Isaiah Ford","WR","MIA","0","-","-","3","bye","1","1","-","-","-","-","-","1","9","5","6","9","35","3.9"
"Duke Johnson Jr.","RB","HOU","5","1","3","3","1","4","5","5","5","bye","2","1","6","8","3","4","6","62","3.9"
"Jimmy Graham","TE","GB","5","1","1","9","3","5","4","5","4","3","bye","2","1","5","4","1","7","60","3.8"
"O.J. Howard","TE","TB","5","0","4","3","2","4","bye","-","-","7","1","2","6","5","7","7","0","53","3.8"
"James Conner","RB","PIT","4","4","4","8","0","7","bye","4","-","-","2","-","-","-","5","0","-","38","3.8"
"Marcus Johnson","WR","IND","0","-","-","-","-","bye","-","-","-","3","4","1","6","7","4","4","4","33","3.7"
"Nyheim Hines","RB","IND","4","2","4","6","5","bye","2","3","3","7","4","3","2","5","2","1","5","58","3.6"
"David Johnson","RB","ARI","7","1","9","11","5","8","0","-","-","1","0","bye","2","2","0","1","-","47","3.6"
"Keke Coutee","WR","HOU","0","4","0","3","4","6","5","-","-","bye","3","-","-","8","-","-","3","36","3.6"
"Marquez Valdes-Scantling","WR","GB","6","5","10","7","4","2","3","2","2","1","bye","3","2","0","1","1","7","56","3.5"
"Steven Sims Jr.","WR","WAS","0","1","2","0","3","0","3","0","1","bye","4","2","4","7","11","10","8","56","3.5"
"Ted Ginn Jr.","WR","NO","7","0","5","5","2","6","5","3","bye","3","4","5","1","6","1","1","2","56","3.5"
"Allen Hurns","WR","MIA","2","2","2","-","bye","2","3","1","3","4","6","7","4","8","1","2","-","47","3.4"
"Damien Williams","RB","KC","6","5","-","-","4","1","3","0","2","5","1","bye","-","-","-","3","7","37","3.4"
