"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"307","Robbie Anderson","WR","ARI","2022",7,7,"ppr","307","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.7%"
"308","Alex Erickson","WR","WAS","2022",7,7,"ppr","308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","Jakeem Grant Sr.","WR","CLE","2022",7,7,"ppr","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Demarcus Robinson","WR","BAL","2022",7,7,"ppr","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1%"
"311","Marcus Johnson","WR","NYG","2022",7,7,"ppr","311","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"312","Kendrick Bourne","WR","NE","2022",7,7,"ppr","312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"313","Victor Bolden Jr.","WR","DEN","2022",7,7,"ppr","313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Zach Pascal","WR","PHI","2022",7,7,"ppr","314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"315","Marcus Kemp","WR","KC","2022",7,7,"ppr","315","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"316","Brandon Zylstra","WR","DET","2022",7,7,"ppr","316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","River Cracraft","WR","MIA","2022",7,7,"ppr","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Greg Ward","WR","PHI","2022",7,7,"ppr","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Cooper Kupp","WR","LAR","2022",7,7,"ppr","319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.7%"
"320","Isaiah McKenzie","WR","BUF","2022",7,7,"ppr","320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.2%"
"321","Tim Patrick","WR","DEN","2022",7,7,"ppr","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"322","Trent Taylor","WR","CIN","2022",7,7,"ppr","322","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"323","Kenny Golladay","WR","NYG","2022",7,7,"ppr","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"324","Justin Hardee","WR","NYJ","2022",7,7,"ppr","324","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"325","Keelan Cole Sr.","WR","LV","2022",7,7,"ppr","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"326","C.J. Board","WR","TEN","2022",7,7,"ppr","326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Tanner Gentry","WR","BUF","2022",7,7,"ppr","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Jamal Agnew","WR","JAC","2022",7,7,"ppr","328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"329","Rashard Higgins","WR","CAR","2022",7,7,"ppr","329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"330","Sterling Shepard","WR","NYG","2022",7,7,"ppr","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"331","Adam Thielen","WR","MIN","2022",7,7,"ppr","331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.7%"
"332","Diontae Spencer","WR","NYJ","2022",7,7,"ppr","332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Willie Snead IV","WR","SF","2022",7,7,"ppr","333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Pharoh Cooper","WR","ARI","2022",7,7,"ppr","334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Michael Thomas","WR","NO","2022",7,7,"ppr","335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.7%"
"336","Laquon Treadwell","WR","SEA","2022",7,7,"ppr","336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Jake Kumerow","WR","BUF","2022",7,7,"ppr","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"338","Stefon Diggs","WR","BUF","2022",7,7,"ppr","338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"339","Ty Montgomery","WR","NE","2022",7,7,"ppr","339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"340","Jamison Crowder","WR","BUF","2022",7,7,"ppr","340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"341","Breshad Perriman","WR","TB","2022",7,7,"ppr","341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"342","Nelson Agholor","WR","NE","2022",7,7,"ppr","342","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.8%"
"343","Chris Conley","WR","TEN","2022",7,7,"ppr","343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"344","Skyy Moore","WR","KC","2022",7,7,"ppr","344","0","1","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","12.0%"
