"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"69","Anthony Sherman","RB","FA","2018",6,6,"ppr","69","0","0","0","0","0","0","1","1","-2","-2.0","0","0","1","0.8","0.8","0.0%"
"70","Chase Edmonds","RB","DEN","2018",6,6,"ppr","70","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","23.9%"
"71","Rod Smith","RB","FA","2018",6,6,"ppr","71","5","4","0.8","5","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"72","Robert Turbin","RB","FA","2018",6,6,"ppr","72","4","10","2.5","5","0","0","1","1","3","3.0","0","1","1","0.3","0.3","0.0%"
"73","Derrick Coleman","RB","FA","2018",6,6,"ppr","73","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"74","Stevan Ridley","RB","FA","2018",6,6,"ppr","74","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"75","Damien Williams","RB","FA","2018",6,6,"ppr","75","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","1.1%"
"76","C.J. Ham","RB","MIN","2018",6,6,"ppr","76","1","1","1.0","1","0","0","0","1","0","0","0","0","1","0.1","0.1","0.1%"
"77","Dontrell Hilliard","RB","TEN","2018",6,6,"ppr","77","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.0%"
"78","Taiwan Jones","RB","BUF","2018",6,6,"ppr","78","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Jacquizz Rodgers","RB","FA","2018",6,6,"ppr","79","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Cordarrelle Patterson","RB","ATL","2018",6,6,"ppr","80","1","3","3.0","3","0","0","1","1","13","13.0","0","0","1","0.0","0.0","85.6%"
"81","Alfred Morris","RB","FA","2018",6,6,"ppr","81","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Brandon Bolden","RB","LV","2018",6,6,"ppr","82","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"83","Tre Madden","RB","FA","2018",6,6,"ppr","83","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"84","Elijhaa Penny","RB","FA","2018",6,6,"ppr","84","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Tyler Ervin","RB","FA","2018",6,6,"ppr","85","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Andy Janovich","RB","FA","2018",6,6,"ppr","86","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Derek Watt","RB","PIT","2018",6,6,"ppr","87","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"88","Tommy Bohanon","RB","FA","2018",6,6,"ppr","88","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Jaylen Samuels","RB","FA","2018",6,6,"ppr","89","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Josh Adams","RB","FA","2018",6,6,"ppr","90","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Buddy Howell","RB","FA","2018",6,6,"ppr","91","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Trenton Cannon","RB","TEN","2018",6,6,"ppr","92","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Jordan Wilkins","RB","IND","2018",6,6,"ppr","93","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Justin Davis","RB","FA","2018",6,6,"ppr","94","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Ricky Ortiz","RB","FA","2018",6,6,"ppr","95","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
